Initiative Code,Initiative Name,website id
CO-608,Preserva,466852
CO-609,Ecobot,466752
CO-626,Fundación Botellas de Amor,466652
CO-645,"Siembra Ahora, Confianza Siempre",500552
CO-646,Faro,500652
CO-647,Hit Social,500752
CO-648,Fundación Alpina,500852
CR-001,Finca Laguna Verde (Stuckey),441152
CR-002,Finca Bello Amanacer,453952
CR-003,Finca Luna Nueva,465052
CR-004,Valle Escondido,465152
CR-005,Life Monteverde (aka Cafe Monteverde),453852
CR-006,Hotel Belmar,465252
CR-009,Armonia Ambiental,465352
CR-010,CoopeTarrazú RL,465452
CR-013,Finca Agroecologica La Flor,465552
CR-014,Rancho Mastatal,465652
CR-015,Centro Alba Nueva (New Dawn Center),465752
CR-018,Huerta Tierra Mágica,465852
CR-021,Biofutura,500952
CR-022,Finca Sol y Valle,465952
CR-024,Harmony Hotel,462352
CR-026,Costa Rica Regenerativa,501052
CR-027,Suelos Vivos,501152
CR-028,Blacksheep Regenerative Resource Management,466052
CR-029,Finca Orgánica San Luis,466152
CR-030,Santa Anita Estate Coffee,466252
CR-046,CoopeCuna,501252
CR-048,Rewild Organics,466352
CR-057,VerdEnergia,466452
CR-068,CAMAPEZ,501352
CR-072,Instituto Nacional de Apredizaje (INA) CENTRO NACIONAL ESPECIALIZADO EN AGRICULTURA ÓRGANICA,466552
CR-080,Fundacion Costaricense de Gastronomia (FUCOGA),501452
CR-082,Ministerio de Agricultura y Ganadaría (MAG) Departamento de Producción Organica,501552
CR-087,BioEco,501652
CR-089,Fundecooperación,501752
CR-093,Del Campo Al Plato,501852
CR-094,GanBos Costa Rica,501952
CR-095,Sustainable Agriculture Network (SAN),502052
CR-096,EARTH University,502152
CR-098,Market and More,502252
DK-019,HavHøst,448152
DK-021,Nordic Harvest,448252
DK-022,Favrskov Municipality,
DK-023,Århus Municipality,
DK-024,Linser for Livet,448352
DK-025,Økologisk Landsforening,
DK-026,AB Catering,
DK-027,Eat Wasted,454052
DK-028,Kitchen Collective,448752
DK-029,Changing Food,448452
DK-032,Grønt Marked,454152
DK-033,Madfællesskabet,454252
DK-034,Food Print Nordic,464252
DK-035,Madland,454352
DK-036,Food Sharing,464352
DK-040,Novo Nordisk Fondon,
DK-041,Food click project - Aarhus municipality,
DK-042,Mellemfolkeligt samvirke,448652
DK-043,Frej,454452
DK-045,Dansk Vegetarisk Landsforening,448852
DK-046,Det Fælles Bedste,454552
DK-049,Jordbrugets Uddannelses Center Aarhus,461652
DK-054,Happy Food Forest,454652
DK-055,Jordbruget Soldug,461752
DK-059,Meyers,
DK-062,MIB,
DK-067,Restaurant Domestic,464552
DK-070,Restaurant Nögen,464652
DK-075,Bowline,461852
DK-077,Grønner Bønner,461952
DK-078,Bybi,454752
DK-079,Ark,462052
DK-083,Hegnstrup,464752
DK-085,Lille Bakery,462152
DK-088,SEGES,495552
DK-090,Aarhus Kommune - Rolf Johnsen,
DK-092,Organic Denmark,444352
